# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458228.98533 15.924 0.003 1
2458236.93080 15.894 0.008 1
2458242.94285 15.879 0.004 1
2458259.92730 15.874 0.004 1
2458263.94635 15.925 0.002 2
2458263.98144 15.933 0.005 2
2458266.96459 15.948 0.006 2
2458266.96552 15.942 0.005 1
2458266.98370 15.929 0.006 2
2458267.94586 15.936 0.007 2
2458267.98379 15.931 0.007 2
2458268.96471 15.912 0.005 2
2458269.95193 15.907 0.006 2
2458269.95288 15.904 0.006 1
2458269.96679 15.901 0.006 2
2458269.98228 15.911 0.008 2
2458272.90284 15.892 0.004 1
2458275.96437 15.906 0.002 1
2458277.87147 15.904 0.002 2
2458277.94703 15.902 0.002 2
2458277.97307 15.925 0.002 2
2458278.93111 15.911 0.002 1
2458279.87130 15.901 0.002 2
2458279.94984 15.899 0.002 2
2458279.96402 15.901 0.002 2
2458280.91125 15.903 0.002 2
2458280.92433 15.917 0.002 2
2458280.94330 15.890 0.002 2
2458281.90279 15.901 0.002 2
2458281.92901 15.912 0.002 2
2458281.92995 15.908 0.002 1
2458283.90720 15.879 0.002 2
2458283.92511 15.896 0.002 2
2458283.96041 15.921 0.002 2
2458284.89460 15.877 0.003 2
2458286.93598 15.904 0.002 2
2458286.94338 15.912 0.002 2
2458287.90329 15.934 0.002 1
2458288.91450 15.925 0.002 2
2458288.92409 15.938 0.003 2
2458289.89611 15.932 0.002 2
2458289.91704 15.919 0.002 2
2458289.92157 15.925 0.002 2
2458290.92425 15.909 0.002 1
2458290.92517 15.920 0.002 2
2458290.94397 15.904 0.002 2
2458291.92137 15.902 0.002 2
2458291.94458 15.906 0.002 2
2458292.92159 15.898 0.001 2
2458292.94280 15.894 0.002 2
2458293.94010 15.899 0.002 2
2458293.94400 15.898 0.002 2
2458294.88151 15.893 0.004 2
2458295.88186 15.918 0.005 2
2458295.94685 15.898 0.003 2
2458296.98212 15.916 0.005 1
2458297.94608 15.924 0.006 2
2458297.98586 15.914 0.007 2
2458299.98400 15.929 0.006 2
2458303.92342 15.890 0.003 2
2458303.92434 15.904 0.003 1
2458303.94279 15.905 0.003 2
2458304.94166 15.889 0.002 2
2458304.95846 15.901 0.002 2
2458304.98083 15.908 0.003 2
2458305.83344 15.900 0.002 2
2458305.94579 15.904 0.002 2
2458305.97952 15.915 0.003 2
2458307.84219 15.898 0.002 2
2458307.94791 15.879 0.002 2
2458310.84315 15.921 0.002 2
2458310.86495 15.949 0.002 2
2458310.86588 15.950 0.002 1
2458311.86096 15.918 0.002 2
2458312.96711 15.951 0.002 2
2458313.87415 15.897 0.002 2
2458313.94810 15.904 0.002 1
2458313.94903 15.895 0.002 2
2458314.88405 15.914 0.002 2
2458316.90234 15.929 0.002 2
2458318.90421 15.929 0.002 2
2458319.88101 15.900 0.003 2
2458319.88192 15.890 0.002 1
2458319.90264 15.898 0.002 2
2458321.92414 15.901 0.002 2
2458322.92728 15.900 0.002 1
2458322.92819 15.903 0.002 2
2458323.90392 15.936 0.004 2
2458324.92311 15.915 0.005 2
2458324.96283 15.927 0.003 2
2458325.91881 15.919 0.006 1
2458325.91972 15.912 0.005 2
2458325.92592 15.889 0.006 2
2458326.94866 15.921 0.006 2
2458326.98096 15.908 0.007 2
