# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458274.86161 15.136 0.004 2
2458280.88285 15.158 0.002 2
2458285.96536 15.164 0.002 2
2458289.84486 15.151 0.002 2
2458295.84268 15.151 0.002 2
2458299.82050 15.147 0.003 2
2458303.88341 15.182 0.002 2
2458307.92538 15.158 0.002 2
2458312.89031 15.174 0.002 2
2458320.73935 15.167 0.003 2
2458325.89703 15.148 0.003 2
2458340.66942 15.150 0.003 2
2458344.82240 15.190 0.002 2
2458348.67796 15.212 0.004 2
2458362.81236 15.170 0.002 2
2458366.77973 15.153 0.002 2
2458370.83640 15.142 0.002 2
2458374.81486 15.160 0.002 2
2458378.86683 15.151 0.002 2
2458387.80322 15.177 0.003 2
2458397.80721 15.191 0.002 2
2458422.78901 15.154 0.004 2
2458426.58109 15.138 0.003 2
2458426.79096 15.092 0.004 2
2458430.71946 15.181 0.002 2
2458434.72800 15.165 0.003 2
2458639.97798 15.179 0.002 2
2458648.80399 15.157 0.003 2
2458653.96636 15.164 0.003 2
2458658.92570 15.188 0.002 2
2458662.84579 15.172 0.002 2
2458666.94441 15.179 0.002 2
2458668.98884 15.170 0.003 2
2458670.90810 15.182 0.002 2
2458672.95968 15.168 0.002 2
2458676.94649 15.188 0.002 2
2458682.95517 15.162 0.003 2
2458686.94435 15.124 0.003 2
2458690.82456 15.199 0.001 2
2458697.95658 15.156 0.002 2
2458701.90774 15.162 0.003 2
2458705.94099 15.155 0.002 2
2458709.93161 15.156 0.003 2
2458713.93526 15.164 0.003 2
2458718.89022 15.181 0.002 2
2458724.83831 15.190 0.002 2
2458732.82635 15.150 0.002 2
2458736.82458 15.161 0.003 2
2458744.85067 15.171 0.002 2
2458748.78706 15.158 0.002 2
2458757.77410 15.165 0.002 2
2458761.81273 15.172 0.002 2
2458765.81046 15.160 0.002 2
2458769.80846 15.155 0.004 2
2458965.96697 15.149 0.002 2
2458972.98589 15.156 0.002 2
2458976.92539 15.158 0.003 2
2458993.94363 15.160 0.002 2
2458998.91328 15.154 0.002 2
2459004.89288 15.178 0.003 2
2459008.98143 15.144 0.003 2
2459012.96318 15.133 0.002 2
2459018.82380 15.186 0.002 2
2459023.85934 15.138 0.003 2
2459027.82826 15.161 0.002 2
2459032.80267 15.174 0.003 2
2459036.84812 15.133 0.003 2
2459040.84780 15.174 0.002 2
2459044.80511 15.146 0.002 2
2459048.84465 15.138 0.002 2
2459052.84090 15.173 0.002 2
2459056.81988 15.186 0.002 2
2459060.78285 15.144 0.002 2
2459064.77201 15.166 0.004 2
