# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458228.95652 15.368 0.002 1
2458242.96557 15.363 0.002 1
2458256.92340 15.371 0.001 1
2458256.96525 15.365 0.001 1
2458257.89405 15.388 0.001 2
2458257.91312 15.364 0.001 2
2458257.92109 15.364 0.001 2
2458257.95457 15.384 0.001 2
2458257.96353 15.374 0.001 2
2458257.98101 15.373 0.001 2
2458259.96488 15.367 0.001 1
2458263.87878 15.374 0.003 2
2458263.92404 15.381 0.002 2
2458266.86003 15.341 0.003 2
2458266.88955 15.369 0.003 1
2458266.89045 15.372 0.003 2
2458268.89873 15.354 0.003 2
2458268.92550 15.372 0.002 2
2458268.94232 15.362 0.002 2
2458269.88197 15.370 0.005 2
2458269.91353 15.366 0.003 2
2458269.92346 15.351 0.002 2
2458269.92439 15.369 0.002 1
2458272.97862 15.348 0.002 1
2458275.90457 15.364 0.002 1
2458277.89381 15.375 0.001 2
2458277.90102 15.388 0.001 2
2458277.92504 15.372 0.001 2
2458279.90760 15.356 0.001 2
2458279.92656 15.365 0.001 2
2458280.85042 15.371 0.001 2
2458280.96822 15.370 0.001 2
2458281.86324 15.366 0.001 2
2458281.94690 15.378 0.001 1
2458281.94784 15.377 0.001 2
2458281.97921 15.369 0.002 2
2458283.86094 15.381 0.001 2
2458283.88725 15.354 0.001 2
2458283.98126 15.366 0.002 2
2458286.84499 15.370 0.001 2
2458286.96626 15.364 0.001 2
2458287.94542 15.356 0.001 1
2458288.83078 15.371 0.001 2
2458288.98130 15.367 0.002 2
2458289.83195 15.391 0.001 2
2458289.95960 15.364 0.001 2
2458289.96321 15.364 0.001 2
2458290.85845 15.358 0.001 2
2458290.88459 15.349 0.001 2
2458290.96698 15.366 0.001 1
2458290.96788 15.380 0.001 2
2458291.82258 15.372 0.002 2
2458291.96562 15.384 0.001 2
2458291.98505 15.348 0.002 2
2458292.83034 15.366 0.002 2
2458292.96470 15.373 0.001 2
2458293.82438 15.367 0.002 2
2458293.96539 15.360 0.001 2
2458293.96631 15.346 0.001 1
2458293.98419 15.370 0.002 2
2458294.96541 15.337 0.001 2
2458295.80182 15.353 0.003 2
2458296.82316 15.371 0.003 2
2458296.83934 15.374 0.003 2
2458296.84844 15.358 0.003 1
2458296.87676 15.366 0.002 2
2458297.83903 15.374 0.003 2
2458297.92272 15.371 0.002 2
2458299.94115 15.392 0.003 2
2458300.94108 15.391 0.002 1
2458303.84164 15.368 0.002 2
2458303.86159 15.345 0.002 1
2458303.87448 15.360 0.002 2
2458303.96532 15.361 0.002 2
2458304.86574 15.365 0.002 2
2458304.88543 15.341 0.002 2
2458304.90150 15.357 0.001 2
2458305.90316 15.361 0.002 2
2458305.92232 15.366 0.002 2
2458307.89864 15.347 0.001 2
2458307.90633 15.353 0.001 2
2458308.85944 15.373 0.010 2
2458310.90500 15.400 0.002 1
2458310.90592 15.403 0.002 2
2458310.92351 15.454 0.002 2
2458312.90472 15.347 0.001 2
2458312.93962 15.329 0.001 2
2458313.89998 15.372 0.001 1
2458313.90257 15.356 0.001 2
2458314.90302 15.366 0.002 2
2458314.92588 15.358 0.001 2
2458314.96118 15.336 0.001 2
2458315.86191 15.354 0.001 2
2458316.85601 15.350 0.001 2
2458316.94626 15.372 0.001 2
2458316.94730 15.371 0.001 1
2458317.90377 15.356 0.001 2
