# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-03-30 at 12:11:38
#
# Requested input R.A. = 324.545078 degrees
# Requested input Dec. = 26.4664299 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459641.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 643 10 3 ZTF_r 474458343915 0 3.6147 129.189 7.24985 26.194 3.6959e-06 0.0260236 0.0864839 1.03334e-05 2126 30. 0.087649 0.059285 19.7882 26.194 1 2458228.9583449 643120239 24.7553720673435 46.8127804280624 0.588247137482176 1.28619807353919 -146.197551254417 61.6865993851596 -2.38596715722 1.12467260036798 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 1 643 10 3 ZTF_g 474487153915 0 2.8546 65.7489 5.24892 26.1841 2.5005e-06 0.0218787 -0.0503868 6.91435e-06 2121 30. 0.064901 0.050932 20.3388 26.1841 1 2458228.9871528 643120139 -139.724767746673 31.065365132236 -5.00324459589029 1.59924898680372 -23.7377060005989 46.8634560028399 -0.509940641484305 1.09455066374735 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 2 643 10 3 ZTF_g 482432113915 0 2.851 57.5132 17.0833 26.043 8.6588e-06 0.0370824 -0.0301569 2.47883e-05 1925 30. 0.053828 0.05118 18.8785 26.043 1 2458236.9321181 643120139 190.453640771633 89.1268116412922 2.37703572901126 1.1087611838708 46.8783320184076 134.049973234464 0.352063183176814 1.09029520073812 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 3 643 10 3 ZTF_g 488443743915 0 2.6687 65.5194 10.5711 26.2211 3.238e-06 0.024203 -0.10387 9.09112e-06 2096 30. 0.049139 0.047785 19.6203 26.2211 1 2458242.94375 643120139 408.884005403297 52.406096530232 8.67906839694242 1.72498208142958 -6.91478491721681 84.5684856895578 -0.082316200115374 1.05080096830282 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 4 643 10 3 ZTF_r 488466463915 0 2.0183 137.727 9.42101 26.2591 8.583e-07 0.012355 0.0783244 2.41481e-06 2094 30. 0.042039 0.036281 20.038 26.2591 1 2458242.9664699 643120239 134.015078832621 40.3173098789966 3.69757439382499 2.36439833018576 -148.144149876309 73.111240541704 -2.03993131759422 1.04887175793 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 5 643 10 3 ZTF_r 502423273915 0 2.5954 134.543 5.70666 26.2521 9.678e-07 0.013395 0.0693234 2.70481e-06 2123 30. 0.046435 0.043039 20.398 26.2521 1 2458256.9232755 643120239 -42.1488882417326 30.5535655746625 -1.53454286947268 6.94567817418928 -76.4202963410643 50.1347876237216 -1.534563026599 1.04250075986706 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 6 643 10 3 ZTF_r 502465113915 0 2.3154 139.212 5.54046 26.2737 7.616e-07 0.0118135 0.0763418 2.1377e-06 2124 30. 0.040197 0.038677 20.5576 26.2737 1 2458256.9651157 643120239 90.6940467053775 28.2942597995009 3.56562153790578 6.64431006197515 -300.165161366477 47.6810389295027 -6.33767211836646 1.04475681477245 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 7 643 10 3 ZTF_r 503393853915 0 2.213 126.224 5.72623 26.1597 2.3978e-06 0.0209978 0.0897824 6.72414e-06 2123 30. 0.054981 0.060146 20.4947 26.1597 2 2458257.8938542 643120239 -364.907200613114 26.5371815427626 -15.2961607441591 5.10534423972927 83.5730765775997 46.7277510251092 1.80055629066138 1.05210840940893 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 8 643 10 3 ZTF_r 503412913915 0 1.9263 129.263 5.53852 26.184 1.0586e-06 0.0138918 0.0883469 2.97322e-06 2126 30. 0.047292 0.04383 20.6497 26.184 2 2458257.9129167 643120239 102.190889282627 27.592249246222 4.11983549612756 11.2718228175862 124.431663199978 45.6755802534765 2.74259718027906 1.05325884804111 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
