model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,R,R2
101,101,35,-12,7.81323,2.0,Pallas,,106,2003icar..164..346t,0.910761,0.909266
106,104,340,42,7.274471,6.0,Hebe,,106,2003icar..164..346t,0.912084,0.874405
110,106,335,-5,12.86667,8.0,Flora,,106,2003icar..164..346t,0.910328,0.898977
111,107,180,22,5.079176,9.0,Metis,,106,2003icar..164..346t,0.677687,0.654934
117,111,98,57,7.443224,19.0,Fortuna,,106,2003icar..164..346t,0.789062,0.85864
120,113,54,-7,8.168269,21.0,Lutetia,,106,2003icar..164..346t,0.732487,0.735678
122,115,159,-45,12.31241,23.0,Thalia,,106,2003icar..164..346t,0.807666,0.745391
123,115,343,-69,12.31241,23.0,Thalia,,106,2003icar..164..346t,0.852359,0.848244
139,127,223,18,4.804043,55.0,Pandora,,106,2003icar..164..346t,0.746899,0.83397
140,128,120,-15,9.29759,63.0,Ausonia,,106,2003icar..164..346t,0.422592,0.640681
149,133,72,60,6.04131,88.0,Thisbe,,106,2003icar..164..346t,0.838541,0.788916
151,134,73,54,4.843928,107.0,Camilla,,106,2003icar..164..346t,0.631152,0.764735
159,139,207,58,4.957154,129.0,Antigone,,106,2003icar..164..346t,0.777514,0.910432
162,142,272,52,8.4006,135.0,Hertha,,106,2003icar..164..346t,0.717333,0.577169
180,152,84,-15,3.747455,201.0,Penelope,,106,2003icar..164..346t,0.607499,0.732431
185,155,74,27,23.9845,230.0,Athamantis,,106,2003icar..164..346t,0.8569,0.989702
186,155,237,29,23.9845,230.0,Athamantis,,106,2003icar..164..346t,0.862595,1.005661
187,156,100,17,5.05442,250.0,Bettina,,106,2003icar..164..346t,0.717487,0.817372
204,164,322,18,4.701204,349.0,Dembowska,,106,2003icar..164..346t,0.678467,0.724144
219,174,297,26,5.129363,511.0,Davida,,106,2003icar..164..346t,0.71757,0.711095
227,179,75,-69,5.06893,584.0,Semiramis,,106,2003icar..164..346t,0.741534,0.715958
236,185,49,74,7.715486,675.0,Ludmilla,,106,2003icar..164..346t,0.623223,0.563162
237,185,196,49,7.715487,675.0,Ludmilla,,106,2003icar..164..346t,0.644965,0.662822
241,188,266,51,5.92193,694.0,Ekard,,106,2003icar..164..346t,0.642814,0.713072
101,101,35,-12,7.81323,2.0,Pallas,,139,2011icar..214..652d,0.910761,0.909266
103,102,103,27,7.209531,3.0,Juno,,139,2011icar..214..652d,0.752464,0.699407
104,103,126,40,16.80061,5.0,Astraea,,139,2011icar..214..652d,0.735939,0.824205
106,104,340,42,7.274471,6.0,Hebe,,139,2011icar..214..652d,0.912084,0.874405
107,105,16,15,7.138843,7.0,Iris,,139,2011icar..214..652d,0.752501,0.731553
110,106,335,-5,12.86667,8.0,Flora,,139,2011icar..214..652d,0.910328,0.898977
111,107,180,22,5.079176,9.0,Metis,,139,2011icar..214..652d,0.677687,0.654934
113,109,32,-7,4.195948,16.0,Psyche,,139,2011icar..214..652d,0.676638,0.721222
116,110,236,19,12.26603,17.0,Thetis,,139,2011icar..214..652d,0.679406,0.811682
121,114,196,3,4.1482,22.0,Kalliope,,139,2011icar..214..652d,0.615494,0.687554
128,119,94,35,12.17458,34.0,Circe,,139,2011icar..214..652d,0.817378,0.844341
129,119,275,51,12.17458,34.0,Circe,,139,2011icar..214..652d,0.80796,0.837399
130,120,323,32,5.138238,39.0,Laetitia,,139,2011icar..214..652d,0.549656,0.58571
131,121,198,-32,5.98798,41.0,Daphne,,139,2011icar..214..652d,0.710603,0.753985
135,125,251,35,5.629958,52.0,Europa,,139,2011icar..214..652d,0.764385,0.642775
136,126,156,13,7.022641,54.0,Alexandra,,139,2011icar..214..652d,0.779177,0.864822
139,127,223,18,4.804043,55.0,Pandora,,139,2011icar..214..652d,0.746899,0.83397
140,128,120,-15,9.29759,63.0,Ausonia,,139,2011icar..214..652d,0.422592,0.640681
145,130,194,-26,14.03087,80.0,Sappho,,139,2011icar..214..652d,0.622166,0.697159
149,133,72,60,6.04131,88.0,Thisbe,,139,2011icar..214..652d,0.838541,0.788916
151,134,73,54,4.843928,107.0,Camilla,,139,2011icar..214..652d,0.631152,0.764735
159,139,207,58,4.957154,129.0,Antigone,,139,2011icar..214..652d,0.777514,0.910432
160,140,64,-88,5.224664,130.0,Elektra,,139,2011icar..214..652d,0.675665,0.799671
166,144,347,47,6.24472,152.0,Atala,,139,2011icar..214..652d,0.602053,0.634554
167,145,30,-64,14.20569,158.0,Koronis,,139,2011icar..214..652d,0.597761,0.587209
171,147,107,-69,13.06133,167.0,Urda,,139,2011icar..214..652d,0.790672,0.971282
172,147,249,-68,13.06133,167.0,Urda,,139,2011icar..214..652d,0.730023,0.862594
189,157,9,-4,6.3192,276.0,Adelheid,,139,2011icar..214..652d,0.816493,0.88229
190,157,199,-20,6.3192,276.0,Adelheid,,139,2011icar..214..652d,0.853409,0.915184
197,161,79,-35,8.73875,306.0,Unitas,,139,2011icar..214..652d,0.738303,0.800844
198,161,253,-17,8.73875,306.0,Unitas,,139,2011icar..214..652d,0.709541,0.745187
215,170,3,30,9.02144,409.0,Aspasia,,139,2011icar..214..652d,0.87882,0.755727
247,191,304,-60,9.4148,747.0,Winchester,,139,2011icar..214..652d,0.859869,0.882548
253,195,223,-40,4.116391,849.0,Ara,,139,2011icar..214..652d,0.66926,0.743592
283,214,341,-14,7.16495,1263.0,Varsavia,,139,2011icar..214..652d,0.649596,0.66627
287,216,102,-8,15.70785,28.0,Bellona,,139,2011icar..214..652d,0.784447,0.809606
288,217,317,17,8.75032,64.0,Angelina,,139,2011icar..214..652d,0.724139,0.696127
289,217,138,14,8.75033,64.0,Angelina,,139,2011icar..214..652d,0.722598,0.703515
290,218,103,43,14.84547,68.0,Leto,,139,2011icar..214..652d,0.868533,0.958719
292,219,95,-65,6.874783,85.0,Io,,139,2011icar..214..652d,0.783241,0.71615
293,220,8,-13,11.38834,89.0,Julia,,139,2011icar..214..652d,0.852731,0.940317
294,221,149,33,8.70221,95.0,Arethusa,,139,2011icar..214..652d,0.693934,0.782761
295,222,174,29,7.22439,165.0,Loreley,,139,2011icar..214..652d,0.859449,0.79395
296,223,28,-72,14.4767,302.0,Clarissa,,139,2011icar..214..652d,0.441493,0.514942
297,223,190,-72,14.4767,302.0,Clarissa,,139,2011icar..214..652d,0.433398,0.506989
298,224,221,-47,8.58189,372.0,Palma,,139,2011icar..214..652d,0.809461,0.772245
299,224,44,17,8.58191,372.0,Palma,,139,2011icar..214..652d,0.818838,0.791685
300,225,223,67,7.115394,471.0,Papagena,,139,2011icar..214..652d,0.736227,0.489198
301,226,294,41,7.87754,925.0,Alphonsina,,139,2011icar..214..652d,0.570386,0.622064
4379,153,202,61,14.08574,208.0,Lacrimosa,,139,2011icar..214..652d,0.675452,0.6558
4380,153,16,60,14.08574,208.0,Lacrimosa,,139,2011icar..214..652d,0.680975,0.681101
102,101,32,-11,7.81322,2.0,Pallas,,169,2017a&a...601a.114h,0.908059,0.9486
1816,103,124,39,16.80059,5.0,Astraea,,169,2017a&a...601a.114h,0.794569,0.924311
1807,106,342,-6,12.86667,8.0,Flora,,169,2017a&a...601a.114h,0.92579,0.928382
716,107,182,19,5.079176,9.0,Metis,,169,2017a&a...601a.114h,0.698592,0.718411
1806,109,36,-10,4.195948,16.0,Psyche,,169,2017a&a...601a.114h,0.706675,0.645212
1803,111,97,69,7.443222,19.0,Fortuna,,169,2017a&a...601a.114h,0.816371,0.836461
1827,114,196,2,4.1482,22.0,Kalliope,,169,2017a&a...601a.114h,0.616446,0.664482
