# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-05-18 at 14:08:36
#
# Requested input R.A. = 210.84826655555557 degrees
# Requested input Dec. = -6.031637659259259 degrees
# Requested JD start = 2458207.850081 days
# Requested JD end = 2459641.9795718 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 426 4 3 ZTF_g 453350081515 0 2.0177 145.389 19.4535 26.2024 1.94688e-05 0.0407115 -0.0382479 4.81694e-05 519 30. 0.048736 0.050908 19.1365 26.2024 1 2458207.850081 426120115 100.575168044371 87.5564221105368 1.27778434102673 1.04072867128324 266.613861535748 164.676109692773 1.62992386529869 1.04058094560156 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 1 426 4 3 ZTF_g 453360651515 0 1.7354 145.104 19.4348 26.2162 1.85344e-05 0.039995 -0.0278626 4.49216e-05 528 30. 0.051065 0.048 19.2807 26.2162 1 2458207.8606597 426120115 -2.2725970169108 78.6638686423621 -0.0321367483807252 0.998427052399135 169.898177037819 152.800974141825 1.11938063219734 1.04466969018719 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 2 426 4 3 ZTF_r 460349021515 0 3.5094 105.27 11.3687 25.1306 6.26807e-05 0.0623129 0.0982217 0.000126509 386 30. 0.069787 0.069309 18.247 25.1306 1 2458214.8490278 426120215 -72.785453671966 76.9798652019682 -1.05177355762768 1.03959310192865 -16.7116728700678 105.648797195966 -0.159246743880531 1.14581666859719 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 3 426 4 3 ZTF_i 460391211515 33554432 2.5932 81.8828 11.5017 23.9177 7.39811e-05 0.0884472 0.17788 0.000344611 263 30. 0.07238 0.06228 17.2263 23.9177 2 2458214.8912153 426120315 -43.9243271626546 60.9759507487134 -0.801311430906282 1.07177552656945 -31.8468582932272 96.3724863356666 -0.332681556066408 1.07506113629682 1.83215108899382 18.7479998207092 0.128000006079674 5.86299991607666 0.675999999046326 2458274.866667 2459295.855810 0
 4 426 4 3 ZTF_r 463348151515 0 1.7188 182.022 7.37353 25.7379 7.7044e-06 0.0312436 0.101928 1.39755e-05 738 30. 0.051162 0.050867 20.0062 25.7379 1 2458217.8481597 426120215 6.44737126510712 32.1980007105917 0.222745313201634 1.01656966216563 60.2894048787408 63.011288666211 0.963247360498623 1.04339964440694 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 5 426 4 3 ZTF_r 463379181515 0 1.6957 249.872 6.25189 26.0622 6.0407e-06 0.0275777 0.109287 1.08643e-05 738 30. 0.052074 0.047598 20.4764 26.0622 1 2458217.8791898 426120215 7.43201233973034 28.9455737485457 0.285613716696741 0.952201451480747 138.095184139293 55.7249292292923 2.49484862650458 1.04591675027765 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 6 426 4 3 ZTF_r 464323001515 0 1.8728 239.137 6.2753 26.0187 4.7266e-06 0.024324 0.105735 8.57106e-06 737 30. 0.055723 0.048871 20.3699 26.0187 2 2458218.8230093 426120215 -13.2091496441294 30.5477891139322 -0.481005317539988 1.03994362262424 -20.0574858259229 55.9399850313763 -0.360968529677657 1.05724310298873 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 7 426 4 3 ZTF_g 469329871515 0 1.6567 139.335 4.91511 26.1555 5.8287e-06 0.0271129 -0.0363235 1.07803e-05 735 30. 0.052617 0.045044 20.7894 26.1555 1 2458223.8298727 426120115 9.96890920386488 23.9103053811844 0.46378566244326 1.04336669463281 14.1801539252629 45.2645343563258 0.315382855049924 1.04552248345505 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 8 426 4 3 ZTF_g 475292431515 0 2.8487 139.087 5.21332 26.2115 9.3473e-06 0.0339309 -0.0904743 1.75699e-05 722 30. 0.061166 0.06279 20.2774 26.2115 1 2458229.7924306 426120115 -16.150449820877 34.834717856538 -0.515735618744786 1.03241449905515 25.8162384868403 55.9176480185157 0.464792659551385 1.0441375338865 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
