# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-05-02 at 05:36:57
#
# Requested input R.A. = 321.0012953089431 degrees
# Requested input Dec. = 34.153217985365856 degrees
# Requested JD start = 2458293.0230787 days
# Requested JD end = 2460067.0201467737 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 689 11 3 ZTF_g 539434784315 0 2.3096 98.1954 5.22569 26.3416 1.5299e-06 0.0130031 -0.0491538 4.7377e-06 2028 30. 0.042326 0.039164 20.903 26.3416 1 2458293.9347801 689120143 29.4113271836633 28.1603353249985 1.16180061382043 19.0004446939777 81.8561983128146 46.9629645333258 1.75473387033654 1.08149242704338 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 1 689 11 3 ZTF_r 542372704315 0 2.0158 228.412 12.6949 26.3372 1.3186e-06 0.0122076 0.0854437 4.07014e-06 2055 30. 0.039243 0.038926 19.8755 26.3372 1 2458296.8727083 689120243 15.4664733164323 55.3125851797436 0.311044223902875 1.00866384088774 212.593298314158 100.396079950351 2.13180760160836 1.05302809444426 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 2 689 11 3 ZTF_g 542459134315 0 2.186 95.0062 12.1772 26.3137 2.3423e-06 0.0163069 -0.0375701 7.2118e-06 2053 30. 0.043137 0.041323 19.8197 26.3137 1 2458296.9591319 689120143 48.7660348093458 66.1118840132831 0.820526689133318 5.38497005175071 68.4737666856074 109.921548072845 0.627128553522405 1.09304436862203 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 3 689 11 3 ZTF_g 545479284315 0 2.3312 92.1926 14.5913 26.2697 3.8794e-06 0.0210887 -0.0159786 1.18602e-05 2033 30. 0.045925 0.04458 19.5782 26.2697 1 2458299.9792824 689120143 -67.1933773306656 78.0978504775897 -0.957066667210798 12.0350143873919 -137.778554980077 127.481938116042 -1.08804826412888 1.10771531247406 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 4 689 11 3 ZTF_r 551400864315 0 2.494 200.427 9.67406 26.2078 1.9583e-06 0.014707 0.0865571 6.06384e-06 2052 30. 0.064808 0.050925 19.9393 26.2078 1 2458305.9008681 689120243 37.9895410492473 49.9753136380089 0.845596778216113 0.838598956744808 -51.6178511476923 79.8623119822626 -0.650688654700379 1.07453228173539 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 5 689 11 3 ZTF_g 551443334315 0 2.1523 88.261 6.90402 26.2329 1.6483e-06 0.0135564 -0.0379008 5.10627e-06 2046 30. 0.041057 0.037691 20.5318 26.2329 1 2458305.9433333 689120143 -17.0858956128971 34.1506156896835 -0.556536960679863 20.1075600968335 25.7049898075735 59.1474836165645 0.437518433761644 1.07385158999599 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 6 1730 3 0 ZTF_g 553475570815 0 1.8925 238.621 6.38622 26.2066 1.8303e-06 0.0139352 -0.0410171 5.53257e-06 2054 30. 0.037041 0.040221 20.5971 26.2066 2 2458307.9755787 1730120108 11.0062119960232 30.84638931681 0.396906616955806 41.5452384164361 7.65181268388728 57.37875713775 0.134254355911998 1.06049402204861 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 7 1730 3 0 ZTF_g 553476030815 0 1.6961 238.402 6.44106 26.2055 1.8436e-06 0.0140575 -0.0437679 5.56335e-06 2059 30. 0.037178 0.040333 20.6616 26.2055 2 2458307.9760301 1730120108 17.269239617556 27.8494979193686 0.689780077396618 73.3965333252282 51.6104171576855 53.513269141802 0.970937061403637 1.05871543405416 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 8 689 11 3 ZTF_r 554356584315 0 1.5394 44.2582 9.82103 24.5413 6.1446e-06 0.0264288 0.071956 1.89461e-05 2053 30. 0.047567 0.043466 18.4439 24.5413 1 2458308.8565856 689120243 2.25099486341431 39.3219199396611 0.0636787589060796 0.76806053918371 -68.3597232362431 80.7923375705776 -0.851815060372409 1.0290322738392 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
